title,video_url,views,video_age
CATS: THE REVIEW,https://youtube.com//watch?v=dpfoOvRhwrs,1.4M views,8 months ago
ROYALTY FREE CHRISTMAS MUSIC 6,https://youtube.com//watch?v=yPHNlnDkxak,977K views,8 months ago
MAKE ME FESTIVE (YIAY #493),https://youtube.com//watch?v=sepdWNPnkjk,1M views,8 months ago
YIAY LIVE LIVE: THE SHOW,https://youtube.com//watch?v=U8-7XCHBv-A,596K views,8 months ago
"You all wrote a Christmas song, and it's actually good? (YIAY #492)",https://youtube.com//watch?v=t4-ujB32i3Y,924K views,8 months ago
The YouTube Rewind you secretly wanted,https://youtube.com//watch?v=6X1cBLoiR34,1.6M views,9 months ago
Telling our dogs they're adopted (Emotional) (YIAY #491),https://youtube.com//watch?v=uUx2OB2n5lU,1M views,9 months ago
The Official Flag of YIAY (YIAY #490),https://youtube.com//watch?v=km1HXsDkghU,1.5M views,9 months ago
CANCELLED (YIAY #489),https://youtube.com//watch?v=M1oggjyw1OQ,1M views,9 months ago
This phone makes me unreasonably mad (JackAsk #97),https://youtube.com//watch?v=eyUyF2UhCL0,951K views,9 months ago
YouTube Rewind 2019 Predictions! (YIAY #488),https://youtube.com//watch?v=eWfrZSW-mV0,1M views,9 months ago
The 2010s in 4 words (YIAY #487),https://youtube.com//watch?v=B_vn2q1_FOI,1.1M views,9 months ago
ok boomer phone,https://youtube.com//watch?v=dmeQQh5WxOI,1.9M views,9 months ago
Fixing your boring avatars (YIAY #486),https://youtube.com//watch?v=-_A0ok3pvFA,1.5M views,10 months ago
I'm a Reaction Video YouTuber for Halloween,https://youtube.com//watch?v=Sgue189azac,798K views,10 months ago
ARE YOU A BOOMER? (YIAY #485),https://youtube.com//watch?v=hL5VFR9UVps,1.4M views,10 months ago
YOUR GRAMMAR SUCKS FOREVER (YOUR GRAMMAR SUCKS #118),https://youtube.com//watch?v=bflsv2tYRLI,981K views,10 months ago
best scene from JOKER (2019) HD,https://youtube.com//watch?v=zXiuzsawVNM,911K views,10 months ago
"Gross, an update video",https://youtube.com//watch?v=GQ_BEoLYmvI,616K views,10 months ago
SPOOK ME UP OCTOBER (YIAY #484),https://youtube.com//watch?v=I4lZRNy7lik,1.6M views,11 months ago
Grading my subscribers' green screen memes (YIAY #483),https://youtube.com//watch?v=T34JXso7dfI,2.7M views,11 months ago
Finding the WORST WikiHow article (JackAsk #96),https://youtube.com//watch?v=uRIeRn1vCF8,1.3M views,11 months ago
Fortnite Funnies Vol. 1,https://youtube.com//watch?v=DchE7UGvl3o,952K views,11 months ago
Tinder profiles for my wife and me (YIAY #482),https://youtube.com//watch?v=9a_zV5-6Zl4,1.4M views,11 months ago
Green Screen Memes!,https://youtube.com//watch?v=jA9f4gXjkdU,753K views,11 months ago
iPhone 11 (parody),https://youtube.com//watch?v=cnnK6CIzPzU,2.2M views,11 months ago
YIAY have an announcement,https://youtube.com//watch?v=dabPTeDrt2U,832K views,11 months ago
WHAT'S YOUR CATCHPHRASE? (YIAY #481),https://youtube.com//watch?v=5AeuxVBIulk,1.5M views,1 year ago
Twitter for Android EXPLAINED! (JackAsk #95),https://youtube.com//watch?v=pxwR2nPcfjo,1.3M views,1 year ago
Uncle Ben can't stop dying (EMOTIONAL),https://youtube.com//watch?v=Rhl3_3ddvn4,633K views,1 year ago
The most CURSED comments section on YouTube (YIAY #480),https://youtube.com//watch?v=XXeSPDDmH4k,2.3M views,1 year ago
A message from my dog Klondike,https://youtube.com//watch?v=PVtKZadTHI4,682K views,1 year ago
YOUTUBE in just 4 words (YIAY #479),https://youtube.com//watch?v=iQHRBkGrGs8,1.2M views,1 year ago
THE CONTENT AWARDS,https://youtube.com//watch?v=1QfAHmEOybU,894K views,1 year ago
WORST things to hear from your Uber Driver (YIAY #478),https://youtube.com//watch?v=9adQ-k8tvsM,1.6M views,1 year ago
Are you funnier than a YouTuber? Prove it!,https://youtube.com//watch?v=tVZJulJco8I,1.2M views,1 year ago
Let's fix the CATS trailer! (YIAY #477),https://youtube.com//watch?v=FJ-4dsyWJUI,1.8M views,1 year ago
What's ACTUALLY in Area 51 (YIAY #476),https://youtube.com//watch?v=fGHWACt83rg,1.3M views,1 year ago
"UPDATE: We won, Mr. Stark",https://youtube.com//watch?v=_dVP3F3RkJM,1.2M views,1 year ago
Frame-by-Frame Analysis of the CATS Trailer (2019),https://youtube.com//watch?v=hZ0JZqDDQPs,1.2M views,1 year ago
Please give this poor woman some eyes. (YIAY #475),https://youtube.com//watch?v=kF94zOeLab8,1.5M views,1 year ago
I made my wife guess the plots to anime she's never seen,https://youtube.com//watch?v=ETKVxySBpGE,1.4M views,1 year ago
The Kidz Bop cover of Old Town Road will break you. (JackAsk #94),https://youtube.com//watch?v=xBIF1orEljI,2.2M views,1 year ago
Here's what you do if Fortnite takes your move. (YIAY #474),https://youtube.com//watch?v=qhw4GGkVgpU,1.3M views,1 year ago
Fortnite is literally selling my deep dab,https://youtube.com//watch?v=jG-5Nsulwak,2.3M views,1 year ago
taylor_swift,https://youtube.com//watch?v=CWuA8ol32fg,1.2M views,1 year ago
This is the worst YouTuber merch ever. (YIAY #473),https://youtube.com//watch?v=lVZATI4LYbs,2.6M views,1 year ago
BAMBOOZLED HARD. (YIAY #472),https://youtube.com//watch?v=lt7Da4G4DqM,2.2M views,1 year ago
A group of anti-vaxxers is called a measle (YIAY #471),https://youtube.com//watch?v=3ud5C0QZmBw,1.1M views,1 year ago
$999 for a stand,https://youtube.com//watch?v=OSl9rP3fjNI,1.2M views,1 year ago
