Title,Year,Duration,Rating,Total Voted,Year Released,Language,Budget,Gross,Color,Top Actors,Genre
Imaginary,2024,1h 44m,4.8,4K,"March 8, 2024",['English'],"$13,000,000","$21,579,798",['Color'],"DeWanda Wise, Taegen Burns, Pyper Braun, Betty Buckley, Tom Payne","Horror, Mystery, Thriller"
Cabrini,2024,2h 22m,7.9,2.6K,"March 8, 2024",['English'],"$50,000,000","$15,141,705",['Color'],"Cristiana Dell'Anna, John Lithgow, David Morse, Giancarlo Giannini, Romana Maggiora Vergano","Biography, Drama"
Maestro,2023,2h 9m,6.5,58K,"December 20, 2023",['English'],"$80,000,000","$383,532","['Color', 'Black and White']","Carey Mulligan, Bradley Cooper, Matt Bomer, Vincenzo Amato, Greg Hildreth","Biography, Drama, History"
Drive-away Dolls,2024,1h 24m,5.6,8.7K,"February 23, 2024",['English'],"$5,028,215","$2,404,330",['Color'],"Margaret Qualley, Geraldine Viswanathan, Beanie Feldstein, Joey Slotnick, C.J. Wilson","Action, Comedy, Thriller"
The Crow,2024,,,,"June 5, 2024",['English'],"$50,000,000",,['Color'],"Bill Skarsgård, FKA twigs, Danny Huston, Laura Birn, Jordan Bolger","Action, Crime, Fantasy"
Napoleon,2023,2h 38m,6.4,129K,"November 22, 2023","['Italian', 'French', 'English', 'German', 'Russian']","$200,000,000","$61,524,375",['Color'],"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett, Mark Bonnar","Action, Adventure, Biography"
Ghostbusters: Frozen Empire,2024,1h 55m,6.6,5.5K,"April 19, 2024",['English'],"$100,000,000","$16,000,000",['Color'],"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace, Kumail Nanjiani","Adventure, Comedy, Fantasy"
Shaitaan,2024,2h 12m,7.6,21K,"March 8, 2024",['Hindi'],"$1,245,599",,['Color'],"Janki Bodiwala, Ajay Devgn, Madhavan, Jyotika, Hiten Patel","Horror, Thriller"
Godzilla X Kong: The New Empire,2024,1h 55m,,,"March 29, 2024",['English'],,,['Color'],"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns","Action, Adventure, Sci-Fi"
The Boy and the Heron,2023,2h 4m,7.6,48K,"July 14, 2023","['Japanese', 'English']","$46,198,055","$13,011,722",['Color'],"Soma Santoki, Masaki Suda, Kô Shibasaki, Aimyon, Yoshino Kimura","Animation, Adventure, Drama"
The Fall Guy,2024,2h 6m,,,"May 3, 2024",['English'],,,['Color'],"Ryan Gosling, Emily Blunt, Hannah Waddingham, Aaron Taylor-Johnson, Teresa Palmer","Action, Comedy, Drama"
Atlas,2024,,,,"May 24, 2024",['English'],,,['Color'],"Sterling K. Brown, Jennifer Lopez, Simu Liu, Lana Parrilla, Mark Strong","Action, Adventure, Drama"
